Nest	FoodTreatment	SexParent	ArrivalTime	SiblingNegotiation	BroodSize	NegPerChick
Trey	Satiated	Male	27.66	0	5	0
Trey	Satiated	Female	27.76	11	5	2.2
Trey	Satiated	Female	27.93	11	5	2.2
Yvonnand	Satiated	Female	21.71	10	7	1.42857143
Yvonnand	Satiated	Female	21.73	10	7	1.42857143
Yvonnand	Satiated	Female	21.91	17	7	2.42857143
Yvonnand	Satiated	Male	21.93	17	7	2.42857143
Yvonnand	Satiated	Female	21.95	17	7	2.42857143
Yvonnand	Deprived	Male	21.96	6	7	0.85714286
Yvonnand	Deprived	Female	22.18	19	7	2.71428571
Yvonnand	Satiated	Male	22.28	4	7	0.57142857
Yvonnand	Deprived	Male	22.3	31	7	4.42857143
Yvonnand	Deprived	Male	22.5	31	7	4.42857143
Yvonnand	Satiated	Male	22.56	10	7	1.42857143
Yvonnand	Deprived	Female	22.6	23	7	3.28571429
Yvonnand	Deprived	Male	22.6	23	7	3.28571429
Yvonnand	Deprived	Male	22.9	15	7	2.14285714
Yvonnand	Satiated	Male	23.25	0	7	0
Yvonnand	Satiated	Female	23.46	6	7	0.85714286
Yvonnand	Satiated	Female	23.53	1	7	0.14285714
Yvonnand	Satiated	Female	23.63	1	7	0.14285714
Yvonnand	Deprived	Male	24	9	7	1.28571429
Yvonnand	Deprived	Male	24.31	6	7	0.85714286
Yvonnand	Deprived	Male	24.56	8	7	1.14285714
Yvonnand	Deprived	Male	24.73	10	7	1.42857143
Yvonnand	Satiated	Male	25.25	4	7	0.57142857
Yvonnand	Satiated	Female	25.41	11	7	1.57142857
Yvonnand	Satiated	Female	25.56	9	7	1.28571429
Yvonnand	Satiated	Female	25.76	14	7	2
Yvonnand	Deprived	Male	26.15	13	7	1.85714286
Yvonnand	Deprived	Male	26.76	22	7	3.14285714
Yvonnand	Deprived	Male	27.23	7	7	1
Yvonnand	Deprived	Female	27.25	7	7	1
Yvonnand	Deprived	Male	28.45	5	7	0.71428571
Yvonnand	Deprived	Female	28.86	15	7	2.14285714
Yvonnand	Deprived	Male	29.21	10	7	1.42857143
Yvonnand	Satiated	Female	29.23	0	7	0
